"value","returning_responder","status","time_submitted"
"Test","0","Complete","2018-02-16 03:25:56"
"Not spoken to anyone","0","Complete","2018-02-17 09:34:30"
"Searched online for services or information to help me","0","Complete","2018-02-18 00:47:29"
"Not spoken to anyone","0","Complete","2018-02-18 00:47:29"
"Spoken to a friend","0","Complete","2018-02-20 06:17:06"
"Managed the issue on my own","0","Complete","2018-02-20 21:14:05"
"Not spoken to anyone","0","Complete","2018-02-21 06:52:04"
"Searched online for services or information to help me","0","Complete","2018-02-21 10:15:45"
"Spoken to a friend","0","Complete","2018-02-21 10:15:45"
"Not spoken to anyone","0","Complete","2018-02-21 10:15:45"
"Spoken to a friend","0","Complete","2018-02-21 20:51:29"
"Not spoken to anyone","0","Complete","2018-02-22 04:03:30"
"Called a helpline, such as Kids Help Phone","0","Complete","2018-02-22 05:24:27"
"Managed the issue on my own","1","Complete","2018-02-22 06:10:45"
"Searched online for services or information to help me","0","Complete","2018-02-23 01:17:24"
"Spoken to a friend","0","Complete","2018-02-23 01:17:24"
"Not spoken to anyone","0","Complete","2018-02-23 05:57:29"
"Managed the issue on my own","0","Complete","2018-02-24 18:15:56"
"Not spoken to anyone","0","Complete","2018-02-24 23:09:56"
"Other - Write In","0","Complete","2018-02-26 10:50:13"
"Spoken to a friend","0","Complete","2018-02-26 17:01:55"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-26 17:01:55"
"Not spoken to anyone","0","Complete","2018-02-27 00:23:02"
"Searched online for services or information to help me","0","Complete","2018-02-27 06:49:51"
"Managed the issue on my own","0","Complete","2018-02-27 07:51:40"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-27 07:51:40"
"Other - Write In","0","Complete","2018-02-16 03:25:56"
"Not spoken to anyone","0","Complete","2018-02-17 01:37:59"
"Spoken to a friend","0","Complete","2018-02-17 09:34:30"
"Managed the issue on my own","0","Complete","2018-02-18 00:47:29"
"Managed the issue on my own","0","Complete","2018-02-18 03:18:53"
"Called a helpline, such as Kids Help Phone","0","Complete","2018-02-20 06:17:06"
"Spoken to a family member","0","Complete","2018-02-20 06:17:06"
"Gone to the emergency room","0","Complete","2018-02-21 00:05:18"
"Spoken to a friend","0","Complete","2018-02-21 06:52:04"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-21 06:52:04"
"Managed the issue on my own","0","Complete","2018-02-21 10:15:45"
"Spoken to a family member","0","Complete","2018-02-21 10:15:45"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-21 10:15:45"
"Managed the issue on my own","0","Complete","2018-02-21 20:51:29"
"Not spoken to anyone","0","Complete","2018-02-21 22:37:47"
"Managed the issue on my own","0","Complete","2018-02-22 04:03:30"
"Spoken to a friend","1","Complete","2018-02-22 06:10:45"
"Called a helpline, such as Kids Help Phone","0","Complete","2018-02-23 01:17:24"
"Managed the issue on my own","0","Complete","2018-02-23 01:17:24"
"Spoken to a family member","0","Complete","2018-02-23 01:17:24"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-23 05:57:29"
"Managed the issue on my own","1","Complete","2018-02-24 21:34:02"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-24 23:09:56"
"Cried in my room and think of a way to take my life and maybe call a friend if it got to bad","0","Complete","2018-02-26 10:50:13"
"Spoken to a family member","0","Complete","2018-02-26 17:01:55"
"Ignored the issue and hoped it got better or went away","0","Complete","2018-02-26 22:50:43"
"Managed the issue on my own","0","Complete","2018-02-27 00:23:02"
"Called a helpline, such as Kids Help Phone","0","Complete","2018-02-27 06:49:51"
"Managed the issue on my own","0","Complete","2018-02-27 06:49:51"
"Gone to the emergency room","0","Complete","2018-02-27 07:51:40"
"Not spoken to anyone","0","Complete","2018-02-27 07:51:40"
