question	value
Where in the media did you learn about us? (Select all that apply)	Instagram - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	"CBC news "
Where in the media did you learn about us? (Select all that apply)	Twitter - Write In
Where in the media did you learn about us? (Select all that apply)	YouTube - Write In
Where in the media did you learn about us? (Select all that apply)	Other - Write In
Where in the media did you learn about us? (Select all that apply)	Twitter - Write In
Where in the media did you learn about us? (Select all that apply)	Instagram - Write In
Where in the media did you learn about us? (Select all that apply)	The game grumps have charity livestreams promoting and raising money for you guys
Where in the media did you learn about us? (Select all that apply)	google
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	Instagram - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	Other - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	YouTube - Write In
Where in the media did you learn about us? (Select all that apply)	YouTube - Write In
Where in the media did you learn about us? (Select all that apply)	Snapchat - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	News article - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	Twitter - Write In
Where in the media did you learn about us? (Select all that apply)	"In a video "
Where in the media did you learn about us? (Select all that apply)	"Google "
Where in the media did you learn about us? (Select all that apply)	School Staff retweeted a tweet about this Crisis Text Line.
Where in the media did you learn about us? (Select all that apply)	"Instagram ad "
Where in the media did you learn about us? (Select all that apply)	YouTube - Write In
Where in the media did you learn about us? (Select all that apply)	Other - Write In
Where in the media did you learn about us? (Select all that apply)	My mom sent me a Facebook article
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	"News (TV) "
Where in the media did you learn about us? (Select all that apply)	"Game grumps "
Where in the media did you learn about us? (Select all that apply)	News article - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
Where in the media did you learn about us? (Select all that apply)	Facebook - Write In
