question	value
How did you learn about us?	At school - Write In
How did you learn about us?	At school - Write In
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	Other - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	Depression text line 24/7
How did you learn about us?	Google search - Write In
How did you learn about us?	"I work here "
How did you learn about us?	Media or social media
How did you learn about us?	"Learnt from it from the announcements "
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	"Hope North in Thompson "
How did you learn about us?	Media or social media
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	Crisis help
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	Google search - Write In
How did you learn about us?	At school - Write In
How did you learn about us?	From my moms work
How did you learn about us?	Google search - Write In
How did you learn about us?	Other - Write In
How did you learn about us?	a mention of this service at the end of a school newspaper article
How did you learn about us?	From a family member or friend
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	Google search - Write In
How did you learn about us?	Media or social media
How did you learn about us?	Help lines
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	Google search - Write In
How did you learn about us?	Media or social media
How did you learn about us?	From a family member or friend
How did you learn about us?	At school - Write In
How did you learn about us?	Media or social media
How did you learn about us?	From a family member or friend
How did you learn about us?	Google search - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	Other - Write In
How did you learn about us?	"Testing "
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	"Test "
How did you learn about us?	Work
How did you learn about us?	From a family member or friend
How did you learn about us?	Google search - Write In
How did you learn about us?	Media or social media
How did you learn about us?	Google search - Write In
How did you learn about us?	Google search - Write In
How did you learn about us?	Depression text line 24/7
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	Other - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	At school - Write In
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	At school - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	My counselor
How did you learn about us?	Google search - Write In
How did you learn about us?	Google search - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	I want to die
How did you learn about us?	Poster
How did you learn about us?	From a medical or mental health professional - Write In
How did you learn about us?	Other - Write In
How did you learn about us?	Kid helpline text
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	My job
How did you learn about us?	Other - Write In
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	Media or social media
How did you learn about us?	From a family member or friend
How did you learn about us?	Media or social media
How did you learn about us?	From a family member or friend
How did you learn about us?	At school - Write In
How did you learn about us?	"Google "
How did you learn about us?	Google search - Write In
How did you learn about us?	From a family member or friend
How did you learn about us?	"Suicide chat line "
How did you learn about us?	From a family member or friend
How did you learn about us?	" guidance counsellor "
How did you learn about us?	Youth Matters Conference
